City,State,Latitude,Longitude
Modesto,CA,37.639097,-120.996878
Miami,FL,41.6688,-70.2962
Tuskegee,AL,32.4302,-85.7077
South San Francisco,CA,37.654656,-122.40775
San Diego,CA,32.715328,-117.157256
San Gabriel,CA,34.096111,-118.105833
Atlanta,GA,33.7490,-84.3880
Orange County,CA,33.7175,-117.8311
Granite Bay,CA,38.7632,-121.1638
Oakland,CA,37.804364,-122.271114
San Jose,CA,37.339386,-121.894956
Monroe,LA,32.5093,-92.1193
Oakland,CA,37.804364,-122.271114
Cerritos,CA,33.858347,-118.064786
Torrance,CA,33.83585,-118.340628
Los Angeles,CA,34.052233,-118.243686
San Diego,CA,32.715328,-117.157256
Los Angeles,CA,34.052233,-118.243686
Jackson,MS,32.2988,-90.1848
Sacramento,CA,38.581572,-121.4944
Stockton,CA,37.957703,-121.290781
Atlanta,GA,33.7490,-84.3880
San Diego,CA,32.715328,-117.157256
Modesto,CA,37.639097,-120.996878
New York,NY,40.7128,-74.0060
Mobile,AL,30.6954,-88.0399
Oakland,CA,37.804364,-122.271114
Ukiah,CA,39.150172,-123.207783
San Pedro,CA,33.7361,-118.2922
Bakersfield,CA,35.373292,-119.018711
Baltimore,MD,39.2904,-76.6122
Cape Code,MA,41.6688,-70.2962
Falls Church,VA,38.8823,-77.1711